date,center_name,attendance_count
2016-12-30,West Penn Community Center,66
2016-12-30,Warrington Community Center,10
2016-12-30,Ammon Community Center,89
2016-12-30,Arlington Community Center,23
2016-12-30,Brookline Community Center,40
2016-12-30,Jefferson Community Center,4
2016-12-30,Ormsby Community Center,35
2016-12-30,Magee Community Center,27
2016-12-30,Phillips Community Center,34
2016-12-30,Paulson Community Center,8
2016-12-29,Warrington Community Center,8
2016-12-29,West Penn Community Center,79
2016-12-29,Ammon Community Center,111
2016-12-29,Jefferson Community Center,16
2016-12-29,Brookline Community Center,50
2016-12-29,Magee Community Center,45
2016-12-29,Ormsby Community Center,55
2016-12-29,Paulson Community Center,10
2016-12-29,Phillips Community Center,69
2016-12-28,West Penn Community Center,54
2016-12-28,Warrington Community Center,7
2016-12-28,Ammon Community Center,75
2016-12-28,Arlington Community Center,9
2016-12-28,Brookline Community Center,48
2016-12-28,Jefferson Community Center,28
2016-12-28,Ormsby Community Center,47
2016-12-28,Magee Community Center,27
2016-12-28,Phillips Community Center,66
2016-12-28,Paulson Community Center,5
2016-12-27,Warrington Community Center,16
2016-12-27,West Penn Community Center,88
2016-12-27,Arlington Community Center,30
2016-12-27,Ammon Community Center,142
2016-12-27,Jefferson Community Center,15
2016-12-27,Brookline Community Center,66
2016-12-27,Magee Community Center,36
2016-12-27,Ormsby Community Center,35
2016-12-27,Paulson Community Center,7
2016-12-27,Phillips Community Center,118
2016-12-23,West Penn Community Center,49
2016-12-23,Warrington Community Center,24
2016-12-23,Ammon Community Center,13
2016-12-23,Arlington Community Center,23
2016-12-23,Brookline Community Center,48
2016-12-23,Jefferson Community Center,23
2016-12-23,Ormsby Community Center,8
2016-12-23,Magee Community Center,26
2016-12-23,Phillips Community Center,46
2016-12-23,Paulson Community Center,15
2016-12-22,Warrington Community Center,31
2016-12-22,West Penn Community Center,121
2016-12-22,Arlington Community Center,7
2016-12-22,Ammon Community Center,131
2016-12-22,Jefferson Community Center,34
2016-12-22,Brookline Community Center,48
2016-12-22,Magee Community Center,37
2016-12-22,Ormsby Community Center,49
2016-12-22,Paulson Community Center,27
2016-12-22,Phillips Community Center,77
2016-12-22,Phillips Park Field,1
2016-12-21,West Penn Community Center,73
2016-12-21,Warrington Community Center,25
2016-12-21,Ammon Community Center,155
2016-12-21,Arlington Community Center,8
2016-12-21,Brookline Community Center,74
2016-12-21,Jefferson Community Center,47
2016-12-21,Ormsby Community Center,42
2016-12-21,Magee Community Center,51
2016-12-21,Phillips Community Center,101
2016-12-21,Paulson Community Center,35
2016-12-20,Warrington Community Center,22
2016-12-20,West Penn Community Center,73
2016-12-20,Arlington Community Center,14
2016-12-20,Ammon Community Center,98
2016-12-20,Jefferson Community Center,37
2016-12-20,Brookline Community Center,61
2016-12-20,Magee Community Center,97
2016-12-20,Ormsby Community Center,64
2016-12-20,Paulson Community Center,23
2016-12-20,Phillips Community Center,62
2016-12-19,West Penn Community Center,97
2016-12-19,Warrington Community Center,46
2016-12-19,Ammon Community Center,213
2016-12-19,Arlington Community Center,4
2016-12-19,Brookline Community Center,80
2016-12-19,Jefferson Community Center,49
2016-12-19,Ormsby Community Center,77
2016-12-19,Magee Community Center,42
2016-12-19,Phillips Community Center,90
2016-12-19,Paulson Community Center,37
2016-12-18,Ammon Community Center,2
2016-12-17,West Penn Community Center,30
2016-12-17,Brookline Community Center,14
2016-12-17,Ormsby Community Center,3
2016-12-17,Phillips Community Center,6
2016-12-16,West Penn Community Center,101
2016-12-16,Warrington Community Center,3
2016-12-16,Ammon Community Center,112
2016-12-16,Arlington Community Center,9
2016-12-16,Brookline Community Center,42
2016-12-16,Jefferson Community Center,60
2016-12-16,Ormsby Community Center,50
2016-12-16,Magee Community Center,38
2016-12-16,Phillips Community Center,54
2016-12-16,Paulson Community Center,23
2016-12-15,Warrington Community Center,14
2016-12-15,West Penn Community Center,116
2016-12-15,Arlington Community Center,5
2016-12-15,Ammon Community Center,139
2016-12-15,Jefferson Community Center,32
2016-12-15,Brookline Community Center,57
2016-12-15,Magee Community Center,32
2016-12-15,Ormsby Community Center,47
2016-12-15,Paulson Community Center,32
2016-12-15,Phillips Community Center,75
2016-12-14,West Penn Community Center,72
2016-12-14,Warrington Community Center,33
2016-12-14,Ammon Community Center,120
2016-12-14,Arlington Community Center,6
2016-12-14,Brookline Community Center,95
