date,center_name,attendance_count
2011-12-30,West Penn Community Center,24
2011-12-30,Ammon Community Center,124
2011-12-30,Brookline Community Center,75
2011-12-30,Jefferson Community Center,19
2011-12-30,Magee Community Center,9
2011-12-30,Ormsby Community Center,14
2011-12-30,Paulson Community Center,24
2011-12-30,Phillips Community Center,16
2011-12-30,Warrington Community Center,28
2011-12-29,West Penn Community Center,23
2011-12-29,Brookline Community Center,111
2011-12-29,Ammon Community Center,25
2011-12-29,Jefferson Community Center,9
2011-12-29,Paulson Community Center,23
2011-12-29,Ormsby Community Center,28
2011-12-29,Warrington Community Center,26
2011-12-29,Phillips Community Center,27
2011-12-28,West Penn Community Center,46
2011-12-28,Ammon Community Center,22
2011-12-28,Brookline Community Center,108
2011-12-28,Jefferson Community Center,11
2011-12-28,Magee Community Center,8
2011-12-28,Ormsby Community Center,19
2011-12-28,Paulson Community Center,29
2011-12-28,Phillips Community Center,55
2011-12-28,Warrington Community Center,47
2011-12-27,West Penn Community Center,58
2011-12-27,Brookline Community Center,94
2011-12-27,Ammon Community Center,29
2011-12-27,Jefferson Community Center,19
2011-12-27,Highland Pool,11
2011-12-27,Paulson Community Center,31
2011-12-27,Ormsby Community Center,14
2011-12-27,Warrington Community Center,35
2011-12-27,Phillips Community Center,54
2011-12-23,West Penn Community Center,27
2011-12-23,Ammon Community Center,64
2011-12-23,Brookline Community Center,85
2011-12-23,Jefferson Community Center,7
2011-12-23,Magee Community Center,13
2011-12-23,Ormsby Community Center,12
2011-12-23,Paulson Community Center,5
2011-12-23,Phillips Community Center,20
2011-12-23,Warrington Community Center,20
2011-12-22,West Penn Community Center,39
2011-12-22,Brookline Community Center,240
2011-12-22,Ammon Community Center,78
2011-12-22,Magee Community Center,34
2011-12-22,Jefferson Community Center,22
2011-12-22,Paulson Community Center,30
2011-12-22,Ormsby Community Center,64
2011-12-22,Warrington Community Center,89
2011-12-22,Phillips Community Center,58
2011-12-21,West Penn Community Center,92
2011-12-21,Ammon Community Center,261
2011-12-21,Arlington Community Center,169
2011-12-21,Jefferson Community Center,11
2011-12-21,Ormsby Community Center,62
2011-12-21,Paulson Community Center,43
2011-12-21,Phillips Community Center,37
2011-12-21,Warrington Community Center,84
2011-12-20,West Penn Community Center,76
2011-12-20,Ammon Community Center,139
2011-12-20,Brookline Community Center,173
2011-12-20,Jefferson Community Center,22
2011-12-20,Paulson Community Center,61
2011-12-20,Ormsby Community Center,59
2011-12-20,Warrington Community Center,90
2011-12-20,Phillips Community Center,37
2011-12-19,West Penn Community Center,93
2011-12-19,Brookline Community Center,156
2011-12-19,Jefferson Community Center,16
2011-12-19,Ormsby Community Center,64
2011-12-19,Paulson Community Center,57
2011-12-19,Phillips Community Center,46
2011-12-19,Warrington Community Center,112
2011-12-18,West Penn Community Center,16
2011-12-17,West Penn Community Center,71
2011-12-17,Brookline Community Center,230
2011-12-17,Jefferson Community Center,5
2011-12-17,Paulson Community Center,6
2011-12-17,Ormsby Community Center,15
2011-12-17,Phillips Community Center,68
2011-12-16,West Penn Community Center,61
2011-12-16,Brookline Community Center,156
2011-12-16,Ammon Community Center,283
2011-12-16,Jefferson Community Center,20
2011-12-16,Ormsby Community Center,25
2011-12-16,Paulson Community Center,9
2011-12-16,Phillips Community Center,75
2011-12-16,Warrington Community Center,67
2011-12-15,West Penn Community Center,36
2011-12-15,Ammon Community Center,311
2011-12-15,Brookline Community Center,144
2011-12-15,Jefferson Community Center,21
2011-12-15,Paulson Community Center,31
2011-12-15,Ormsby Community Center,48
2011-12-15,Warrington Community Center,115
2011-12-15,Phillips Community Center,36
2011-12-14,West Penn Community Center,73
2011-12-14,Brookline Community Center,182
2011-12-14,Ammon Community Center,148
2011-12-14,Jefferson Community Center,21
2011-12-14,Ormsby Community Center,76
2011-12-14,Paulson Community Center,31
2011-12-14,Phillips Community Center,50
2011-12-14,Warrington Community Center,106
2011-12-13,West Penn Community Center,71
2011-12-13,Ammon Community Center,112
2011-12-13,Brookline Community Center,223
2011-12-13,Jefferson Community Center,19
2011-12-13,Magee Community Center,6
2011-12-13,Paulson Community Center,57
2011-12-13,Ormsby Community Center,70
2011-12-13,Warrington Community Center,92
2011-12-13,Phillips Community Center,35
2011-12-12,West Penn Community Center,95
2011-12-12,Brookline Community Center,180
2011-12-12,Ammon Community Center,152
2011-12-12,Magee Community Center,129
2011-12-12,Jefferson Community Center,21
2011-12-12,Ormsby Community Center,71
2011-12-12,Paulson Community Center,67
2011-12-12,Phillips Community Center,59
2011-12-12,Warrington Community Center,101
2011-12-11,West Penn Community Center,69
2011-12-11,Ormsby Community Center,12
2011-12-10,West Penn Community Center,78
2011-12-10,Brookline Community Center,215
2011-12-10,Jefferson Community Center,6
2011-12-10,Paulson Community Center,11
2011-12-10,Warrington Community Center,4
2011-12-10,Phillips Community Center,3
2011-12-09,West Penn Community Center,70
