date,center_name,attendance_count
2023-03-12,Warrington Community Center,3
2023-03-11,Warrington Community Center,1
2023-03-11,Ormsby Community Center,5
2023-03-11,Paulson Community Center,12
2023-03-11,Phillips Community Center,10
2023-03-11,West Penn Community Center,104
2023-03-10,Warrington Community Center,32
2023-03-10,Ammon Community Center,8
2023-03-10,Arlington Community Center,13
2023-03-10,Brookline Community Center,40
2023-03-10,Jefferson Community Center,17
2023-03-10,Ormsby Community Center,11
2023-03-10,Magee Community Center,68
2023-03-10,Phillips Community Center,39
2023-03-10,Paulson Community Center,15
2023-03-10,West Penn Community Center,73
2023-03-09,Warrington Community Center,63
2023-03-09,Arlington Community Center,15
2023-03-09,Ammon Community Center,32
2023-03-09,Jefferson Community Center,3
2023-03-09,Brookline Community Center,58
2023-03-09,Magee Community Center,48
2023-03-09,Ormsby Community Center,11
2023-03-09,Paulson Community Center,12
2023-03-09,Phillips Community Center,74
2023-03-09,West Penn Community Center,135
2023-03-08,Warrington Community Center,69
2023-03-08,Ammon Community Center,5
2023-03-08,Arlington Community Center,84
2023-03-08,Brookline Community Center,36
2023-03-08,Ormsby Community Center,35
2023-03-08,Magee Community Center,46
2023-03-08,Phillips Community Center,54
2023-03-08,Paulson Community Center,15
2023-03-08,West Penn Community Center,48
2023-03-07,Warrington Community Center,67
2023-03-07,Arlington Community Center,12
2023-03-07,Ammon Community Center,7
2023-03-07,Brookline Community Center,51
2023-03-07,Magee Community Center,26
2023-03-07,Ormsby Community Center,10
2023-03-07,Paulson Community Center,21
2023-03-07,Phillips Community Center,75
2023-03-07,West Penn Community Center,140
2023-03-06,Warrington Community Center,89
2023-03-06,Ammon Community Center,9
2023-03-06,Arlington Community Center,10
2023-03-06,Brookline Community Center,42
2023-03-06,Ormsby Community Center,6
2023-03-06,Magee Community Center,52
2023-03-06,Phillips Community Center,71
2023-03-06,Paulson Community Center,25
2023-03-06,West Penn Community Center,96
2023-03-04,Warrington Community Center,8
2023-03-04,Ammon Community Center,4
2023-03-04,Ormsby Community Center,4
2023-03-04,Phillips Community Center,42
2023-03-04,West Penn Community Center,119
2023-03-03,Warrington Community Center,52
2023-03-03,Ammon Community Center,8
2023-03-03,Arlington Community Center,5
2023-03-03,Brookline Community Center,32
2023-03-03,Jefferson Community Center,6
2023-03-03,Ormsby Community Center,7
2023-03-03,Magee Community Center,39
2023-03-03,Phillips Community Center,50
2023-03-03,Paulson Community Center,8
2023-03-03,West Penn Community Center,95
2023-03-02,Warrington Community Center,59
2023-03-02,Arlington Community Center,16
2023-03-02,Ammon Community Center,12
2023-03-02,Brookline Community Center,41
2023-03-02,Magee Community Center,39
2023-03-02,Ormsby Community Center,23
2023-03-02,Paulson Community Center,8
2023-03-02,Phillips Community Center,78
2023-03-02,West Penn Community Center,143
2023-03-01,Warrington Community Center,60
2023-03-01,Ammon Community Center,40
2023-03-01,Arlington Community Center,20
2023-03-01,Brookline Community Center,32
2023-03-01,Jefferson Community Center,32
2023-03-01,Ormsby Community Center,4
2023-03-01,Magee Community Center,34
2023-03-01,Phillips Community Center,82
2023-03-01,Paulson Community Center,14
2023-03-01,West Penn Community Center,59
2023-02-28,Warrington Community Center,86
2023-02-28,Arlington Community Center,39
2023-02-28,Ammon Community Center,16
2023-02-28,Brookline Community Center,48
2023-02-28,Magee Community Center,43
2023-02-28,Ormsby Community Center,22
2023-02-28,Paulson Community Center,23
2023-02-28,Phillips Community Center,69
2023-02-28,West Penn Community Center,155
2023-02-27,Warrington Community Center,35
2023-02-27,Ammon Community Center,37
2023-02-27,Arlington Community Center,7
2023-02-27,Brookline Community Center,43
2023-02-27,Ormsby Community Center,18
2023-02-27,Magee Community Center,81
2023-02-27,Phillips Community Center,64
2023-02-27,Paulson Community Center,17
2023-02-27,West Penn Community Center,79
2023-02-25,Phillips Community Center,56
2023-02-25,West Penn Community Center,19
2023-02-24,Warrington Community Center,58
2023-02-24,Arlington Community Center,13
2023-02-24,Ammon Community Center,49
2023-02-24,Brookline Community Center,38
2023-02-24,Magee Community Center,84
2023-02-24,Ormsby Community Center,9
2023-02-24,Phillips Community Center,60
2023-02-24,Paulson Community Center,15
2023-02-24,West Penn Community Center,60
2023-02-23,Warrington Community Center,78
2023-02-23,Ammon Community Center,53
2023-02-23,Arlington Community Center,10
2023-02-23,Brookline Community Center,45
2023-02-23,Jefferson Community Center,16
2023-02-23,Ormsby Community Center,9
2023-02-23,Magee Community Center,65
2023-02-23,Paulson Community Center,13
2023-02-23,Phillips Community Center,67
2023-02-23,West Penn Community Center,297
2023-02-22,Warrington Community Center,52
2023-02-22,Arlington Community Center,19
2023-02-22,Ammon Community Center,86
2023-02-22,Brookline Community Center,29
2023-02-22,Magee Community Center,70
2023-02-22,Ormsby Community Center,19
