date,center_name,attendance_count
2021-12-30,Warrington Community Center,34
2021-12-30,West Penn Community Center,16
2021-12-30,Arlington Community Center,7
2021-12-30,Brookline Community Center,20
2021-12-30,Jefferson Community Center,14
2021-12-30,Magee Community Center,15
2021-12-30,Ormsby Community Center,5
2021-12-30,Paulson Community Center,2
2021-12-30,Phillips Community Center,10
2021-12-29,West Penn Community Center,17
2021-12-29,Warrington Community Center,32
2021-12-29,Arlington Community Center,7
2021-12-29,Jefferson Community Center,10
2021-12-29,Brookline Community Center,22
2021-12-29,Ormsby Community Center,5
2021-12-29,Magee Community Center,38
2021-12-29,Phillips Community Center,27
2021-12-29,Paulson Community Center,9
2021-12-28,Warrington Community Center,32
2021-12-28,West Penn Community Center,17
2021-12-28,Arlington Community Center,3
2021-12-28,Brookline Community Center,20
2021-12-28,Jefferson Community Center,70
2021-12-28,Magee Community Center,26
2021-12-28,Ormsby Community Center,6
2021-12-28,Paulson Community Center,7
2021-12-28,Phillips Community Center,28
2021-12-27,West Penn Community Center,60
2021-12-27,Warrington Community Center,23
2021-12-27,Arlington Community Center,2
2021-12-27,Brookline Community Center,38
2021-12-27,Ormsby Community Center,21
2021-12-27,Magee Community Center,31
2021-12-27,Phillips Community Center,22
2021-12-27,Paulson Community Center,7
2021-12-23,Warrington Community Center,12
2021-12-23,West Penn Community Center,44
2021-12-23,Arlington Community Center,9
2021-12-23,Brookline Community Center,17
2021-12-23,Magee Community Center,24
2021-12-23,Ormsby Community Center,8
2021-12-23,Paulson Community Center,10
2021-12-23,Phillips Community Center,36
2021-12-22,West Penn Community Center,32
2021-12-22,Warrington Community Center,29
2021-12-22,Arlington Community Center,12
2021-12-22,Brookline Community Center,24
2021-12-22,Ormsby Community Center,4
2021-12-22,Magee Community Center,21
2021-12-22,Phillips Community Center,24
2021-12-22,Paulson Community Center,9
2021-12-21,Warrington Community Center,27
2021-12-21,West Penn Community Center,48
2021-12-21,Arlington Community Center,14
2021-12-21,Brookline Community Center,21
2021-12-21,Magee Community Center,33
2021-12-21,Ormsby Community Center,5
2021-12-21,Paulson Community Center,9
2021-12-21,Phillips Community Center,39
2021-12-20,West Penn Community Center,45
2021-12-20,Warrington Community Center,33
2021-12-20,Arlington Community Center,7
2021-12-20,Brookline Community Center,26
2021-12-20,Ormsby Community Center,8
2021-12-20,Magee Community Center,25
2021-12-20,Phillips Community Center,20
2021-12-20,Paulson Community Center,8
2021-12-17,Warrington Community Center,41
2021-12-17,West Penn Community Center,39
2021-12-17,Arlington Community Center,7
2021-12-17,Brookline Community Center,14
2021-12-17,Magee Community Center,71
2021-12-17,Ormsby Community Center,9
2021-12-17,Paulson Community Center,14
2021-12-17,Phillips Community Center,29
2021-12-16,West Penn Community Center,12
2021-12-16,Warrington Community Center,42
2021-12-16,Arlington Community Center,1
2021-12-16,Brookline Community Center,24
2021-12-16,Ormsby Community Center,2
2021-12-16,Magee Community Center,23
2021-12-16,Phillips Community Center,16
2021-12-16,Paulson Community Center,13
2021-12-15,Warrington Community Center,41
2021-12-15,West Penn Community Center,24
2021-12-15,Arlington Community Center,18
2021-12-15,Brookline Community Center,29
2021-12-15,Magee Community Center,14
2021-12-15,Ormsby Community Center,3
2021-12-15,Paulson Community Center,7
2021-12-15,Phillips Community Center,51
2021-12-14,West Penn Community Center,46
2021-12-14,Warrington Community Center,23
2021-12-14,Arlington Community Center,3
2021-12-14,Brookline Community Center,31
2021-12-14,Ormsby Community Center,3
2021-12-14,Magee Community Center,48
2021-12-14,Phillips Community Center,48
2021-12-14,Paulson Community Center,16
2021-12-13,Warrington Community Center,36
2021-12-13,West Penn Community Center,40
2021-12-13,Brookline Community Center,22
2021-12-13,Magee Community Center,27
2021-12-13,Ormsby Community Center,5
2021-12-13,Paulson Community Center,12
2021-12-13,Phillips Community Center,58
2021-12-10,West Penn Community Center,40
2021-12-10,Warrington Community Center,23
2021-12-10,Arlington Community Center,11
2021-12-10,Brookline Community Center,14
2021-12-10,Ormsby Community Center,10
2021-12-10,Magee Community Center,36
2021-12-10,Phillips Community Center,27
2021-12-10,Paulson Community Center,23
2021-12-09,Warrington Community Center,32
2021-12-09,West Penn Community Center,83
2021-12-09,Brookline Community Center,27
2021-12-09,Magee Community Center,29
2021-12-09,Ormsby Community Center,7
2021-12-09,Paulson Community Center,15
2021-12-09,Phillips Community Center,22
2021-12-08,West Penn Community Center,43
2021-12-08,Warrington Community Center,17
2021-12-08,Brookline Community Center,18
2021-12-08,Ormsby Community Center,6
2021-12-08,Magee Community Center,25
2021-12-08,Phillips Community Center,45
2021-12-08,Paulson Community Center,14
2021-12-07,Warrington Community Center,29
2021-12-07,West Penn Community Center,92
2021-12-07,Arlington Community Center,10
2021-12-07,Brookline Community Center,20
2021-12-07,Magee Community Center,23
2021-12-07,Ormsby Community Center,7
2021-12-07,Paulson Community Center,9
2021-12-07,Phillips Community Center,27
2021-12-06,West Penn Community Center,38
2021-12-06,Warrington Community Center,21
2021-12-06,Brookline Community Center,24
2021-12-06,Ormsby Community Center,1
2021-12-06,Magee Community Center,34
2021-12-06,Phillips Community Center,43
2021-12-06,Paulson Community Center,13
2021-12-03,Warrington Community Center,37
2021-12-03,West Penn Community Center,22
2021-12-03,Arlington Community Center,12
2021-12-03,Brookline Community Center,15
2021-12-03,Magee Community Center,39
2021-12-03,Ormsby Community Center,8
2021-12-03,Paulson Community Center,21
2021-12-03,Phillips Community Center,47
2021-12-02,West Penn Community Center,75
2021-12-02,Warrington Community Center,39
2021-12-02,Arlington Community Center,1
2021-12-02,Brookline Community Center,20
2021-12-02,Ormsby Community Center,7
2021-12-02,Magee Community Center,30
2021-12-02,Phillips Community Center,13
2021-12-02,Paulson Community Center,21
2021-12-01,Warrington Community Center,34
2021-12-01,West Penn Community Center,31
2021-12-01,Brookline Community Center,15
2021-12-01,Magee Community Center,14
2021-12-01,Ormsby Community Center,9
2021-12-01,Paulson Community Center,22
2021-12-01,Phillips Community Center,29
2021-11-30,West Penn Community Center,92
