date,center_name,attendance_count
2012-12-31,West Penn Community Center,33
2012-12-31,Brookline Community Center,77
2012-12-31,Ammon Community Center,15
2012-12-31,Arlington Community Center,16
2012-12-31,Jefferson Community Center,26
2012-12-31,Magee Community Center,16
2012-12-31,Ormsby Community Center,14
2012-12-31,Paulson Community Center,14
2012-12-31,Warrington Community Center,18
2012-12-31,Phillips Community Center,11
2012-12-29,West Penn Community Center,6
2012-12-29,Brookline Community Center,55
2012-12-29,Phillips Community Center,95
2012-12-29,Warrington Community Center,14
2012-12-28,West Penn Community Center,37
2012-12-28,Brookline Community Center,102
2012-12-28,Arlington Community Center,13
2012-12-28,Ammon Community Center,16
2012-12-28,Magee Community Center,5
2012-12-28,Jefferson Community Center,20
2012-12-28,Paulson Community Center,12
2012-12-28,Ormsby Community Center,9
2012-12-28,Warrington Community Center,22
2012-12-28,Phillips Community Center,35
2012-12-27,West Penn Community Center,32
2012-12-27,Ammon Community Center,5
2012-12-27,Arlington Community Center,12
2012-12-27,Brookline Community Center,86
2012-12-27,Jefferson Community Center,15
2012-12-27,Magee Community Center,12
2012-12-27,Ormsby Community Center,14
2012-12-27,Paulson Community Center,15
2012-12-27,Phillips Community Center,21
2012-12-27,Warrington Community Center,22
2012-12-26,West Penn Community Center,7
2012-12-26,Brookline Community Center,15
2012-12-26,Paulson Community Center,7
2012-12-26,Ormsby Community Center,3
2012-12-26,Phillips Community Center,6
2012-12-24,West Penn Community Center,15
2012-12-24,Brookline Community Center,29
2012-12-24,Arlington Community Center,10
2012-12-24,Ammon Community Center,8
2012-12-24,Magee Community Center,12
2012-12-24,Ormsby Community Center,13
2012-12-24,Paulson Community Center,12
2012-12-24,Phillips Community Center,34
2012-12-24,Warrington Community Center,46
2012-12-22,West Penn Community Center,77
2012-12-22,Brookline Community Center,78
2012-12-22,Ormsby Community Center,24
2012-12-22,Warrington Community Center,9
2012-12-22,Phillips Community Center,93
2012-12-21,West Penn Community Center,45
2012-12-21,Brookline Community Center,71
2012-12-21,Ammon Community Center,4
2012-12-21,Arlington Community Center,10
2012-12-21,Magee Community Center,29
2012-12-21,Jefferson Community Center,14
2012-12-21,Ormsby Community Center,24
2012-12-21,Paulson Community Center,25
2012-12-21,Phillips Community Center,115
2012-12-21,Warrington Community Center,37
2012-12-20,West Penn Community Center,56
2012-12-20,Ammon Community Center,18
2012-12-20,Brookline Community Center,253
2012-12-20,Jefferson Community Center,14
2012-12-20,Magee Community Center,32
2012-12-20,Paulson Community Center,56
2012-12-20,Ormsby Community Center,43
2012-12-20,Warrington Community Center,37
2012-12-20,Phillips Community Center,25
2012-12-19,West Penn Community Center,79
2012-12-19,Brookline Community Center,152
2012-12-19,Ammon Community Center,19
2012-12-19,Arlington Community Center,68
2012-12-19,Magee Community Center,43
2012-12-19,Jefferson Community Center,12
2012-12-19,Ormsby Community Center,85
2012-12-19,Paulson Community Center,36
2012-12-19,Phillips Community Center,99
2012-12-19,Warrington Community Center,84
2012-12-18,West Penn Community Center,98
2012-12-18,Arlington Community Center,47
2012-12-18,Ammon Community Center,16
2012-12-18,Brookline Community Center,271
2012-12-18,Jefferson Community Center,41
2012-12-18,Magee Community Center,29
2012-12-18,Paulson Community Center,36
2012-12-18,Ormsby Community Center,53
2012-12-18,Warrington Community Center,58
2012-12-18,Phillips Community Center,39
2012-12-17,West Penn Community Center,109
2012-12-17,Brookline Community Center,154
2012-12-17,Ammon Community Center,38
2012-12-17,Arlington Community Center,20
2012-12-17,Magee Community Center,51
2012-12-17,Jefferson Community Center,20
2012-12-17,Ormsby Community Center,3
2012-12-17,Paulson Community Center,44
2012-12-17,Ormsby Field (Playground),107
2012-12-17,Phillips Community Center,61
2012-12-17,Warrington Community Center,39
2012-12-15,West Penn Community Center,86
2012-12-15,Arlington Community Center,31
2012-12-15,Ammon Community Center,58
2012-12-15,Brookline Community Center,227
2012-12-15,Jefferson Community Center,4
2012-12-15,Magee Community Center,67
2012-12-15,Ormsby Community Center,26
2012-12-15,Phillips Community Center,93
2012-12-14,West Penn Community Center,53
2012-12-14,Brookline Community Center,81
2012-12-14,Ammon Community Center,14
2012-12-14,Arlington Community Center,30
2012-12-14,Magee Community Center,24
2012-12-14,Jefferson Community Center,24
2012-12-14,Ormsby Community Center,32
2012-12-14,Paulson Community Center,32
2012-12-14,Phillips Community Center,23
2012-12-14,Warrington Community Center,17
2012-12-13,West Penn Community Center,70
2012-12-13,Arlington Community Center,38
2012-12-13,Ammon Community Center,14
2012-12-13,Brookline Community Center,210
2012-12-13,Jefferson Community Center,32
2012-12-13,Magee Community Center,29
2012-12-13,Paulson Community Center,24
2012-12-13,Ormsby Community Center,60
2012-12-13,Warrington Community Center,15
2012-12-13,Phillips Community Center,115
2012-12-12,West Penn Community Center,98
2012-12-12,Brookline Community Center,166
2012-12-12,Ammon Community Center,16
2012-12-12,Arlington Community Center,6
2012-12-12,Magee Community Center,46
2012-12-12,Jefferson Community Center,32
2012-12-12,Ormsby Community Center,89
2012-12-12,Paulson Community Center,50
2012-12-12,Phillips Community Center,74
2012-12-12,Warrington Community Center,77
2012-12-11,West Penn Community Center,96
2012-12-11,Arlington Community Center,34
2012-12-11,Ammon Community Center,17
2012-12-11,Brookline Community Center,279
