date,center_name,attendance_count
2014-12-31,Warrington Community Center,31
2014-12-31,West Penn Community Center,55
2014-12-31,Ammon Community Center,4
2014-12-31,Arlington Community Center,29
2014-12-31,Jefferson Community Center,35
2014-12-31,Brookline Community Center,63
2014-12-31,Magee Community Center,31
2014-12-31,Paulson Community Center,30
2014-12-31,Phillips Community Center,28
2014-12-30,West Penn Community Center,144
2014-12-30,Warrington Community Center,65
2014-12-30,Arlington Community Center,35
2014-12-30,Ammon Community Center,12
2014-12-30,Brookline Community Center,133
2014-12-30,Jefferson Community Center,47
2014-12-30,Magee Community Center,48
2014-12-30,Phillips Community Center,66
2014-12-30,Paulson Community Center,33
2014-12-29,Warrington Community Center,51
2014-12-29,West Penn Community Center,119
2014-12-29,Ammon Community Center,13
2014-12-29,Arlington Community Center,38
2014-12-29,Jefferson Community Center,34
2014-12-29,Brookline Community Center,138
2014-12-29,Magee Community Center,67
2014-12-29,Paulson Community Center,38
2014-12-29,Phillips Community Center,71
2014-12-27,Brookline Community Center,108
2014-12-27,Phillips Community Center,12
2014-12-26,West Penn Community Center,52
2014-12-26,Warrington Community Center,69
2014-12-26,Arlington Community Center,18
2014-12-26,Ammon Community Center,2
2014-12-26,Brookline Community Center,80
2014-12-26,Jefferson Community Center,28
2014-12-26,Magee Community Center,56
2014-12-26,Phillips Community Center,21
2014-12-26,Paulson Community Center,20
2014-12-24,Warrington Community Center,17
2014-12-24,West Penn Community Center,48
2014-12-24,Ammon Community Center,2
2014-12-24,Arlington Community Center,1
2014-12-24,Jefferson Community Center,9
2014-12-24,Brookline Community Center,28
2014-12-24,Magee Community Center,24
2014-12-24,Ormsby Community Center,10
2014-12-24,Paulson Community Center,8
2014-12-24,Phillips Community Center,5
2014-12-23,West Penn Community Center,62
2014-12-23,Warrington Community Center,62
2014-12-23,Arlington Community Center,37
2014-12-23,Ammon Community Center,24
2014-12-23,Brookline Community Center,91
2014-12-23,Jefferson Community Center,27
2014-12-23,Ormsby Community Center,23
2014-12-23,Magee Community Center,66
2014-12-23,Phillips Community Center,32
2014-12-23,Paulson Community Center,16
2014-12-22,Warrington Community Center,74
2014-12-22,West Penn Community Center,143
2014-12-22,Ammon Community Center,46
2014-12-22,Arlington Community Center,49
2014-12-22,Jefferson Community Center,36
2014-12-22,Brookline Community Center,168
2014-12-22,Magee Community Center,59
2014-12-22,Ormsby Community Center,72
2014-12-22,Paulson Community Center,28
2014-12-22,Phillips Community Center,83
2014-12-20,West Penn Community Center,122
2014-12-20,Brookline Community Center,308
2014-12-20,Ormsby Community Center,8
2014-12-20,Magee Community Center,106
2014-12-20,Phillips Community Center,6
2014-12-19,West Penn Community Center,86
2014-12-19,Warrington Community Center,93
2014-12-19,Arlington Community Center,53
2014-12-19,Ammon Community Center,33
2014-12-19,Brookline Community Center,170
2014-12-19,Jefferson Community Center,34
2014-12-19,Magee Community Center,64
2014-12-19,Ormsby Community Center,23
2014-12-19,Phillips Community Center,47
2014-12-19,Paulson Community Center,38
2014-12-18,Warrington Community Center,60
2014-12-18,West Penn Community Center,127
2014-12-18,Ammon Community Center,54
2014-12-18,Arlington Community Center,39
2014-12-18,Jefferson Community Center,26
2014-12-18,Brookline Community Center,234
2014-12-18,Ormsby Community Center,32
2014-12-18,Magee Community Center,126
2014-12-18,Paulson Community Center,52
2014-12-18,Phillips Community Center,81
2014-12-17,West Penn Community Center,160
2014-12-17,Warrington Community Center,101
2014-12-17,Arlington Community Center,31
2014-12-17,Ammon Community Center,41
2014-12-17,Brookline Community Center,152
2014-12-17,Jefferson Community Center,27
2014-12-17,Magee Community Center,63
2014-12-17,Ormsby Community Center,63
2014-12-17,Phillips Community Center,65
2014-12-17,Paulson Community Center,31
2014-12-16,Warrington Community Center,72
2014-12-16,West Penn Community Center,96
2014-12-16,Ammon Community Center,41
2014-12-16,Arlington Community Center,103
2014-12-16,Jefferson Community Center,32
2014-12-16,Brookline Community Center,378
2014-12-16,Ormsby Community Center,59
2014-12-16,Magee Community Center,61
2014-12-16,Paulson Community Center,27
2014-12-16,Phillips Community Center,73
2014-12-15,West Penn Community Center,97
2014-12-15,Warrington Community Center,81
2014-12-15,Arlington Community Center,66
2014-12-15,Ammon Community Center,61
2014-12-15,Brookline Community Center,210
2014-12-15,Jefferson Community Center,32
2014-12-15,Magee Community Center,57
2014-12-15,Ormsby Community Center,67
2014-12-15,Phillips Community Center,96
2014-12-15,Paulson Community Center,40
2014-12-13,Warrington Community Center,317
2014-12-13,West Penn Community Center,75
2014-12-13,Jefferson Community Center,8
2014-12-13,Brookline Community Center,367
2014-12-13,Ormsby Community Center,9
2014-12-13,Magee Community Center,118
2014-12-13,Phillips Community Center,150
2014-12-12,West Penn Community Center,75
2014-12-12,Warrington Community Center,53
2014-12-12,Ammon Community Center,4
2014-12-12,Arlington Community Center,111
2014-12-12,Brookline Community Center,108
2014-12-12,Jefferson Community Center,24
2014-12-12,Magee Community Center,7
2014-12-12,Ormsby Community Center,9
2014-12-12,Phillips Community Center,47
2014-12-11,Warrington Community Center,67
2014-12-11,West Penn Community Center,53
2014-12-11,Arlington Community Center,13
2014-12-11,Ammon Community Center,94
2014-12-11,Jefferson Community Center,28
2014-12-11,Brookline Community Center,316
2014-12-11,Ormsby Community Center,40
2014-12-11,Magee Community Center,85
2014-12-11,Phillips Community Center,114
2014-12-11,Paulson Community Center,29
2014-12-10,West Penn Community Center,90
2014-12-10,Warrington Community Center,127
2014-12-10,Ammon Community Center,116
2014-12-10,Arlington Community Center,34
2014-12-10,Brookline Community Center,202
2014-12-10,Jefferson Community Center,26
2014-12-10,Magee Community Center,78
2014-12-10,Ormsby Community Center,44
2014-12-10,Paulson Community Center,43
2014-12-10,Phillips Community Center,91
2014-12-09,Warrington Community Center,63
2014-12-09,West Penn Community Center,76
2014-12-09,Arlington Community Center,115
2014-12-09,Ammon Community Center,108
2014-12-09,Jefferson Community Center,37
2014-12-09,Brookline Community Center,276
2014-12-09,Ormsby Community Center,35
2014-12-09,Magee Community Center,55
2014-12-09,Phillips Community Center,163
2014-12-09,Paulson Community Center,31
2014-12-08,West Penn Community Center,96
2014-12-08,Warrington Community Center,87
2014-12-08,Ammon Community Center,104
2014-12-08,Arlington Community Center,44
2014-12-08,Brookline Community Center,205
