date,center_name,attendance_count
2020-11-06,Phillips Community Center,1
2020-11-04,West Penn Community Center,2
2020-11-02,Brookline Community Center,1
2020-10-12,West Penn Community Center,1
2020-03-16,West Penn Community Center,7
2020-03-16,Ammon Community Center,2
2020-03-16,Brookline Community Center,6
2020-03-16,Magee Community Center,2
2020-03-16,Phillips Community Center,3
2020-03-14,Warrington Community Center,6
2020-03-14,Brookline Community Center,16
2020-03-14,Magee Community Center,9
2020-03-14,Phillips Community Center,6
2020-03-13,Warrington Community Center,69
2020-03-13,West Penn Community Center,48
2020-03-13,Ammon Community Center,31
2020-03-13,Brookline Community Center,41
2020-03-13,Jefferson Community Center,17
2020-03-13,Magee Community Center,79
2020-03-13,Ormsby Community Center,31
2020-03-13,Phillips Community Center,113
2020-03-12,West Penn Community Center,69
2020-03-12,Warrington Community Center,50
2020-03-12,Ammon Community Center,33
2020-03-12,Jefferson Community Center,27
2020-03-12,Brookline Community Center,35
2020-03-12,Ormsby Community Center,51
2020-03-12,Magee Community Center,52
2020-03-12,Phillips Community Center,115
2020-03-12,Paulson Community Center,16
2020-03-11,Warrington Community Center,65
2020-03-11,West Penn Community Center,79
2020-03-11,Ammon Community Center,130
2020-03-11,Brookline Community Center,54
2020-03-11,Jefferson Community Center,25
2020-03-11,Magee Community Center,36
2020-03-11,Ormsby Community Center,31
2020-03-11,Paulson Community Center,23
2020-03-11,Phillips Community Center,97
2020-03-10,West Penn Community Center,99
2020-03-10,Warrington Community Center,58
2020-03-10,Ammon Community Center,87
2020-03-10,Jefferson Community Center,25
2020-03-10,Brookline Community Center,62
2020-03-10,Ormsby Community Center,50
2020-03-10,Magee Community Center,46
2020-03-10,Phillips Community Center,105
2020-03-10,Paulson Community Center,2
2020-03-09,Warrington Community Center,65
2020-03-09,West Penn Community Center,63
2020-03-09,Ammon Community Center,69
2020-03-09,Brookline Community Center,40
2020-03-09,Jefferson Community Center,36
2020-03-09,Magee Community Center,78
2020-03-09,Ormsby Community Center,41
2020-03-09,Paulson Community Center,26
2020-03-09,Phillips Community Center,103
2020-03-08,Ammon Community Center,1
2020-03-07,West Penn Community Center,115
2020-03-07,Warrington Community Center,13
2020-03-07,Ammon Community Center,4
2020-03-07,Brookline Community Center,20
2020-03-07,Magee Community Center,11
2020-03-07,Phillips Community Center,26
2020-03-06,Warrington Community Center,57
2020-03-06,West Penn Community Center,37
2020-03-06,Ammon Community Center,153
2020-03-06,Brookline Community Center,46
2020-03-06,Jefferson Community Center,17
2020-03-06,Magee Community Center,35
2020-03-06,Ormsby Community Center,51
2020-03-06,Phillips Community Center,71
2020-03-06,Paulson Community Center,15
2020-03-05,West Penn Community Center,44
2020-03-05,Warrington Community Center,55
2020-03-05,Ammon Community Center,54
2020-03-05,Jefferson Community Center,25
2020-03-05,Brookline Community Center,53
2020-03-05,Ormsby Community Center,34
2020-03-05,Magee Community Center,87
2020-03-05,Paulson Community Center,21
2020-03-05,Phillips Community Center,103
2020-03-04,Warrington Community Center,57
2020-03-04,West Penn Community Center,108
2020-03-04,Ammon Community Center,82
2020-03-04,Brookline Community Center,52
2020-03-04,Jefferson Community Center,20
2020-03-04,Magee Community Center,89
2020-03-04,Ormsby Community Center,31
2020-03-04,Phillips Community Center,122
2020-03-04,Paulson Community Center,24
2020-03-03,West Penn Community Center,75
2020-03-03,Warrington Community Center,69
2020-03-03,Ammon Community Center,52
2020-03-03,Jefferson Community Center,21
2020-03-03,Brookline Community Center,48
2020-03-03,Ormsby Community Center,38
2020-03-03,Magee Community Center,55
2020-03-03,Paulson Community Center,23
2020-03-03,Phillips Community Center,126
2020-03-02,Warrington Community Center,78
2020-03-02,West Penn Community Center,62
2020-03-02,Ammon Community Center,129
2020-03-02,Brookline Community Center,72
2020-03-02,Jefferson Community Center,15
2020-03-02,Magee Community Center,56
2020-03-02,Ormsby Community Center,42
2020-03-02,Phillips Community Center,94
2020-03-02,Paulson Community Center,15
2020-02-29,West Penn Community Center,105
2020-02-29,Brookline Community Center,17
2020-02-29,Magee Community Center,25
2020-02-29,Phillips Community Center,19
2020-02-28,West Penn Community Center,63
2020-02-28,Warrington Community Center,33
2020-02-28,Ammon Community Center,146
2020-02-28,Brookline Community Center,50
2020-02-28,Jefferson Community Center,29
2020-02-28,Magee Community Center,44
2020-02-28,Ormsby Community Center,38
2020-02-28,Phillips Community Center,86
2020-02-28,Paulson Community Center,26
2020-02-27,Warrington Community Center,49
2020-02-27,West Penn Community Center,105
2020-02-27,Ammon Community Center,43
2020-02-27,Jefferson Community Center,24
2020-02-27,Brookline Community Center,43
2020-02-27,Ormsby Community Center,44
2020-02-27,Magee Community Center,52
2020-02-27,Paulson Community Center,10
2020-02-27,Phillips Community Center,66
2020-02-26,West Penn Community Center,74
2020-02-26,Warrington Community Center,35
2020-02-26,Ammon Community Center,101
2020-02-26,Brookline Community Center,83
2020-02-26,Jefferson Community Center,21
2020-02-26,Magee Community Center,59
2020-02-26,Ormsby Community Center,12
2020-02-26,Phillips Community Center,63
2020-02-26,Phillips Park Field,10
2020-02-26,Paulson Community Center,18
