date,center_name,attendance_count
2015-12-31,West Penn Community Center,19
2015-12-31,Warrington Community Center,14
2015-12-31,Ammon Community Center,34
2015-12-31,Arlington Community Center,7
2015-12-31,Brookline Community Center,23
2015-12-31,Jefferson Community Center,31
2015-12-31,Magee Community Center,12
2015-12-31,Ormsby Community Center,25
2015-12-31,Phillips Community Center,40
2015-12-30,Warrington Community Center,36
2015-12-30,West Penn Community Center,65
2015-12-30,Arlington Community Center,26
2015-12-30,Ammon Community Center,46
2015-12-30,Jefferson Community Center,19
2015-12-30,Brookline Community Center,132
2015-12-30,Ormsby Community Center,31
2015-12-30,Magee Community Center,29
2015-12-30,Phillips Community Center,129
2015-12-29,West Penn Community Center,64
2015-12-29,Warrington Community Center,24
2015-12-29,Ammon Community Center,34
2015-12-29,Arlington Community Center,18
2015-12-29,Brookline Community Center,122
2015-12-29,Jefferson Community Center,11
2015-12-29,Magee Community Center,63
2015-12-29,Ormsby Community Center,40
2015-12-29,Phillips Community Center,96
2015-12-28,Warrington Community Center,59
2015-12-28,West Penn Community Center,78
2015-12-28,Arlington Community Center,49
2015-12-28,Ammon Community Center,40
2015-12-28,Jefferson Community Center,14
2015-12-28,Brookline Community Center,152
2015-12-28,Ormsby Community Center,30
2015-12-28,Magee Community Center,75
2015-12-28,Phillips Community Center,112
2015-12-24,West Penn Community Center,14
2015-12-24,Warrington Community Center,21
2015-12-24,Ammon Community Center,17
2015-12-24,Arlington Community Center,6
2015-12-24,Brookline Community Center,38
2015-12-24,Jefferson Community Center,27
2015-12-24,Magee Community Center,11
2015-12-24,Ormsby Community Center,16
2015-12-24,Phillips Community Center,44
2015-12-23,Warrington Community Center,34
2015-12-23,West Penn Community Center,56
2015-12-23,Arlington Community Center,29
2015-12-23,Ammon Community Center,118
2015-12-23,Jefferson Community Center,22
2015-12-23,Brookline Community Center,107
2015-12-23,Ormsby Community Center,51
2015-12-23,Magee Community Center,62
2015-12-23,Phillips Community Center,53
2015-12-23,Paulson Community Center,10
2015-12-22,West Penn Community Center,49
2015-12-22,Warrington Community Center,60
2015-12-22,Ammon Community Center,42
2015-12-22,Arlington Community Center,21
2015-12-22,Brookline Community Center,150
2015-12-22,Jefferson Community Center,26
2015-12-22,Magee Community Center,73
2015-12-22,Ormsby Community Center,43
2015-12-22,Paulson Community Center,17
2015-12-21,Warrington Community Center,55
2015-12-21,West Penn Community Center,77
2015-12-21,Arlington Community Center,35
2015-12-21,Ammon Community Center,143
2015-12-21,Jefferson Community Center,43
