date,center_name,attendance_count
2018-12-31,Warrington Community Center,1
2018-12-31,West Penn Community Center,16
2018-12-31,Ammon Community Center,2
2018-12-31,Brookline Community Center,41
2018-12-31,Ormsby Community Center,2
2018-12-31,Magee Community Center,21
2018-12-31,Phillips Community Center,16
2018-12-29,West Penn Community Center,23
2018-12-29,Brookline Community Center,57
2018-12-29,Magee Community Center,44
2018-12-29,Phillips Community Center,21
2018-12-28,West Penn Community Center,45
2018-12-28,Warrington Community Center,18
2018-12-28,Ammon Community Center,72
2018-12-28,Brookline Community Center,53
2018-12-28,Jefferson Community Center,14
2018-12-28,Magee Community Center,25
2018-12-28,Ormsby Community Center,19
2018-12-28,Phillips Community Center,43
2018-12-28,Paulson Community Center,5
2018-12-27,Warrington Community Center,12
2018-12-27,West Penn Community Center,47
2018-12-27,Ammon Community Center,17
2018-12-27,Jefferson Community Center,15
2018-12-27,Brookline Community Center,35
2018-12-27,Ormsby Community Center,18
2018-12-27,Magee Community Center,29
2018-12-27,Paulson Community Center,12
2018-12-27,Phillips Community Center,47
2018-12-26,West Penn Community Center,33
2018-12-26,Warrington Community Center,16
2018-12-26,Ammon Community Center,21
2018-12-26,Brookline Community Center,52
2018-12-26,Jefferson Community Center,14
2018-12-26,Magee Community Center,19
2018-12-26,Ormsby Community Center,10
2018-12-26,Phillips Community Center,39
2018-12-26,Paulson Community Center,5
2018-12-24,Warrington Community Center,4
2018-12-24,West Penn Community Center,17
2018-12-24,Ammon Community Center,2
2018-12-24,Brookline Community Center,21
2018-12-24,Ormsby Community Center,6
2018-12-24,Magee Community Center,2
2018-12-24,Phillips Community Center,12
2018-12-22,West Penn Community Center,22
2018-12-22,Brookline Community Center,47
2018-12-22,Magee Community Center,27
2018-12-21,West Penn Community Center,42
2018-12-21,Warrington Community Center,14
2018-12-21,Ammon Community Center,80
2018-12-21,Brookline Community Center,21
2018-12-21,Jefferson Community Center,21
2018-12-21,Magee Community Center,35
2018-12-21,Ormsby Community Center,7
2018-12-21,Phillips Community Center,56
2018-12-21,Paulson Community Center,27
2018-12-20,Warrington Community Center,17
2018-12-20,West Penn Community Center,70
2018-12-20,Ammon Community Center,23
2018-12-20,Jefferson Community Center,18
2018-12-20,Brookline Community Center,48
2018-12-20,Ormsby Community Center,29
2018-12-20,Magee Community Center,61
2018-12-20,Paulson Community Center,24
2018-12-20,Phillips Community Center,79
2018-12-19,West Penn Community Center,55
2018-12-19,Warrington Community Center,13
2018-12-19,Ammon Community Center,22
2018-12-19,Brookline Community Center,99
2018-12-19,Jefferson Community Center,23
2018-12-19,Magee Community Center,18
2018-12-19,Ormsby Community Center,18
2018-12-19,Phillips Community Center,91
2018-12-19,Paulson Community Center,26
2018-12-18,Warrington Community Center,19
2018-12-18,West Penn Community Center,89
2018-12-18,Ammon Community Center,28
2018-12-18,Brookline Community Center,69
2018-12-18,Ormsby Community Center,74
2018-12-18,Paulson Community Center,25
2018-12-18,Phillips Community Center,96
2018-12-17,West Penn Community Center,60
2018-12-17,Warrington Community Center,47
2018-12-17,Ammon Community Center,113
2018-12-17,Brookline Community Center,76
2018-12-17,Ormsby Community Center,21
2018-12-17,Phillips Community Center,70
2018-12-17,Paulson Community Center,26
2018-12-15,West Penn Community Center,22
2018-12-15,Brookline Community Center,76
2018-12-15,Phillips Community Center,13
2018-12-14,West Penn Community Center,73
2018-12-14,Warrington Community Center,31
2018-12-14,Ammon Community Center,55
2018-12-14,Brookline Community Center,54
2018-12-14,Ormsby Community Center,18
2018-12-14,Magee Community Center,59
2018-12-14,Phillips Community Center,81
2018-12-14,Paulson Community Center,25
2018-12-13,Warrington Community Center,53
2018-12-13,West Penn Community Center,87
2018-12-13,Ammon Community Center,51
2018-12-13,Brookline Community Center,72
2018-12-13,Magee Community Center,29
2018-12-13,Ormsby Community Center,59
2018-12-13,Paulson Community Center,30
2018-12-13,Phillips Community Center,68
2018-12-12,West Penn Community Center,69
2018-12-12,Warrington Community Center,19
2018-12-12,Ammon Community Center,84
2018-12-12,Brookline Community Center,93
2018-12-12,Ormsby Community Center,16
2018-12-12,Magee Community Center,42
2018-12-12,Phillips Community Center,88
2018-12-12,Paulson Community Center,22
2018-12-11,Warrington Community Center,25
2018-12-11,West Penn Community Center,105
2018-12-11,Ammon Community Center,29
2018-12-11,Brookline Community Center,79
2018-12-11,Magee Community Center,58
2018-12-11,Ormsby Community Center,17
2018-12-11,Paulson Community Center,24
2018-12-11,Phillips Community Center,80
2018-12-10,West Penn Community Center,96
2018-12-10,Warrington Community Center,30
2018-12-10,Ammon Community Center,70
2018-12-10,Brookline Community Center,62
2018-12-10,Ormsby Community Center,48
2018-12-10,Magee Community Center,56
2018-12-10,Phillips Community Center,88
2018-12-10,Paulson Community Center,18
2018-12-08,West Penn Community Center,41
2018-12-08,Brookline Community Center,26
2018-12-08,Magee Community Center,55
2018-12-08,Phillips Community Center,14
2018-12-07,West Penn Community Center,61
2018-12-07,Warrington Community Center,19
2018-12-07,Ammon Community Center,28
2018-12-07,Brookline Community Center,49
2018-12-07,Magee Community Center,49
2018-12-07,Ormsby Community Center,59
2018-12-07,Phillips Community Center,45
2018-12-07,Paulson Community Center,23
2018-12-06,Warrington Community Center,41
2018-12-06,West Penn Community Center,65
2018-12-06,Ammon Community Center,86
2018-12-06,Brookline Community Center,52
2018-12-06,Ormsby Community Center,18
2018-12-06,Magee Community Center,41
2018-12-06,Paulson Community Center,22
2018-12-06,Phillips Community Center,47
2018-12-05,West Penn Community Center,69
2018-12-05,Warrington Community Center,32
2018-12-05,Ammon Community Center,116
2018-12-05,Brookline Community Center,75
2018-12-05,Jefferson Community Center,15
2018-12-05,Magee Community Center,35
2018-12-05,Ormsby Community Center,33
2018-12-05,Phillips Community Center,80
2018-12-05,Paulson Community Center,22
2018-12-04,Warrington Community Center,4
2018-12-04,West Penn Community Center,80
2018-12-04,Ammon Community Center,94
2018-12-04,Jefferson Community Center,28
2018-12-04,Brookline Community Center,63
2018-12-04,Ormsby Community Center,23
2018-12-04,Magee Community Center,38
2018-12-04,Paulson Community Center,29
2018-12-04,Phillips Community Center,67
2018-12-03,West Penn Community Center,79
2018-12-03,Warrington Community Center,29
2018-12-03,Ammon Community Center,101
2018-12-03,Brookline Community Center,65
2018-12-03,Jefferson Community Center,17
2018-12-03,Magee Community Center,77
2018-12-03,Ormsby Community Center,38
2018-12-03,Phillips Community Center,59
2018-12-03,Paulson Community Center,24
2018-12-02,Ammon Community Center,1
2018-12-01,West Penn Community Center,62
2018-12-01,Ammon Community Center,2
2018-12-01,Brookline Community Center,50
2018-12-01,Magee Community Center,54
2018-12-01,Phillips Community Center,14
2018-11-30,West Penn Community Center,62
2018-11-30,Warrington Community Center,26
2018-11-30,Ammon Community Center,80
2018-11-30,Brookline Community Center,88
2018-11-30,Jefferson Community Center,22
2018-11-30,Magee Community Center,39
2018-11-30,Ormsby Community Center,59
2018-11-30,Phillips Community Center,70
2018-11-30,Paulson Community Center,25
2018-11-29,Warrington Community Center,21
2018-11-29,West Penn Community Center,67
2018-11-29,Ammon Community Center,141
2018-11-29,Jefferson Community Center,9
2018-11-29,Brookline Community Center,55
2018-11-29,Ormsby Community Center,34
2018-11-29,Magee Community Center,58
2018-11-29,Paulson Community Center,28
2018-11-29,Phillips Community Center,37
2018-11-28,West Penn Community Center,57
2018-11-28,Warrington Community Center,13
2018-11-28,Ammon Community Center,114
2018-11-28,Brookline Community Center,91
2018-11-28,Jefferson Community Center,26
2018-11-28,Magee Community Center,68
2018-11-28,Ormsby Community Center,66
2018-11-28,Phillips Community Center,136
2018-11-28,Paulson Community Center,26
2018-11-27,Warrington Community Center,8
2018-11-27,West Penn Community Center,97
2018-11-27,Ammon Community Center,101
2018-11-27,Jefferson Community Center,21
2018-11-27,Brookline Community Center,73
2018-11-27,Ormsby Community Center,40
2018-11-27,Magee Community Center,42
2018-11-27,Paulson Community Center,23
2018-11-27,Phillips Community Center,44
2018-11-26,West Penn Community Center,74
2018-11-26,Warrington Community Center,19
2018-11-26,Ammon Community Center,79
2018-11-26,Brookline Community Center,78
2018-11-26,Jefferson Community Center,35
2018-11-26,Magee Community Center,53
2018-11-26,Ormsby Community Center,15
2018-11-26,Phillips Community Center,36
2018-11-26,Paulson Community Center,15
2018-11-21,Warrington Community Center,10
2018-11-21,West Penn Community Center,70
